Pair,OOS_PnL,Sharpe,MaxDD,MaxDD_pct,WinRate,N_Trades,Turnover,N_Days
DG/MOS,18901.466994802806,1.2472410776997351,-17260.51999999998,-0.034521039999999954,0.5490196078431373,9,73550.0,144
ALGN/UAL,17192.100000000006,1.9372842928056198,-3894.7800000000107,-0.007789560000000022,0.6,7,16926.0,144
ACGL/UHS,3012.844433081466,0.6682297999544784,-4631.010746213516,-0.009262021492427032,0.5,26,33818.0,144
ARES/CG,2885.011399730889,0.3787206901246938,-9229.665030166205,-0.01845933006033241,0.6216216216216216,18,56740.0,144
TW/CME,1813.7588719003088,0.5278074516374918,-3955.000000000003,-0.007910000000000006,0.4,5,8376.0,144
AMG/BEN,1257.5913372978432,0.3009450896089411,-6372.388662702158,-0.012744777325404317,0.5357142857142857,8,47794.0,144
CART/DASH,454.45000000004575,0.0356043848435926,-21584.849999999962,-0.04316969999999992,0.5714285714285714,20,79062.0,144
D/MCHP,388.209984305204,0.136269740319922,-2274.745254428472,-0.004549490508856944,0.4782608695652174,11,21970.0,144
AAPL/META,0.0,0.0,0.0,0.0,,0,0.0,0
CL/USO,-272.6824719101346,-0.05477979543498664,-4153.089999999993,-0.008306179999999986,0.5238095238095238,6,19676.0,144
YUM/MCD,-478.19617592604027,-0.125082239050374,-4019.777389003993,-0.008039554778007985,0.4444444444444444,15,20475.0,144
LYFT/UBER,-1626.4000000000124,-0.2520041237831979,-8966.350000000026,-0.01793270000000005,0.631578947368421,8,51120.0,144
MSCI/LII,-4118.351742061448,-0.47385228905924387,-15184.16112787714,-0.03036832225575428,0.4166666666666667,11,5786.0,144
GS/ALLY,-5958.079401869616,-1.098731604477392,-7436.040000000008,-0.014872080000000017,0.5294117647058824,7,26250.0,144
ESS/EXPD,-11769.069776810693,-0.9211943695815001,-23379.89999999995,-0.0467597999999999,0.5102040816326531,24,50874.0,144
